S majuscule tracé à la main
544
(2623.0, ( 0.15714285714285703, 0.2785714285714286))
(2639.0, ( 0.15714285714285703, 0.27142857142857146))
(2654.0, ( 0.16428571428571415, 0.26428571428571435))
(2654.0, ( 0.17857142857142838, 0.2571428571428571))
(2670.0, ( 0.19999999999999973, 0.24285714285714288))
(2686.0, ( 0.2142857142857144, 0.22857142857142865))
(2701.0, ( 0.22857142857142865, 0.22142857142857142))
(2701.0, ( 0.23571428571428577, 0.2142857142857143))
(2717.0, ( 0.23571428571428577, 0.19285714285714284))
(2717.0, ( 0.24285714285714288, 0.19285714285714284))
(2732.0, ( 0.25, 0.18571428571428572))
(2732.0, ( 0.2571428571428571, 0.1785714285714286))
(2748.0, ( 0.26428571428571423, 0.16428571428571426))
(2764.0, ( 0.27142857142857135, 0.15000000000000002))
(2764.0, ( 0.27142857142857135, 0.1428571428571429))
(2779.0, ( 0.27857142857142847, 0.1357142857142858))
(2779.0, ( 0.2857142857142856, 0.12857142857142856))
(2795.0, ( 0.2857142857142856, 0.12142857142857144))
(2795.0, ( 0.2999999999999998, 0.1071428571428572))
(2810.0, ( 0.2999999999999998, 0.09999999999999998))
(2810.0, ( 0.30714285714285694, 0.09285714285714286))
(2826.0, ( 0.31428571428571406, 0.07857142857142863))
(2826.0, ( 0.3214285714285712, 0.06428571428571428))
(2842.0, ( 0.3285714285714283, 0.050000000000000044))
(2842.0, ( 0.34285714285714297, 0.021428571428571463))
(2857.0, ( 0.34285714285714297, 0.014285714285714346))
(2857.0, ( 0.3571428571428572, 0.0))
(2873.0, ( 0.37142857142857144, -0.021428571428571352))
(2873.0, ( 0.3999999999999999, -0.02857142857142847))
(2888.0, ( 0.40714285714285703, -0.050000000000000044))
